Worker #13 exit, found 24 palindro
Worker #12 exit, found 12 palindro
Worker #15 exit, found 21 palindro
Worker #19 exit, found 18 palindro
Worker #3 exit, found 15 palindro
Worker #4 exit, found 14 palindro
Worker #23 exit, found 16 palindro
Worker #7 exit, found 18 palindro
Worker #22 exit, found 18 palindro
Worker #2 exit, found 22 palindro
Worker #6 exit, found 10 palindro
Worker #9 exit, found 22 palindro
Worker #18 exit, found 12 palindro
Worker #1 exit, found 29 palindro
Worker #11 exit, found 23 palindro
Worker #20 exit, found 16 palindro
Worker #17 exit, found 17 palindro
Worker #5 exit, found 15 palindro
Worker #16 exit, found 13 palindro
Worker #8 exit, found 12 palindro
Worker #10 exit, found 23 palindro
Worker #0 exit, found 33 palindro
Worker #21 exit, found 10 palindro
Worker #14 exit, found 13 palindro
Total 426 palindro words
